00359V|54.244389|-6.979480499999999|ZZZ
00373P|54.3563977|-7.024313599999999|9C6J9X4G+H7
00467B|51.6642743|-8.5957449|9C3HMC73+PP
00512D|51.9081865|-8.163952|ZZZ
00538V|52.142211|-10.2703837|ZZZ
00606M|52.5109347|-8.224357|9C4HGQ6G+97
00651R|52.5998385|-6.9208848|9C4MH3XH+WJ
00697S|53.3753688|-6.3619368|9C5M9JGQ+46
00714P|53.359626|-6.4436697|9C5M9H54+VG
00729F|53.291411|-6.2789164|9C5M7PRC+HC
00752A|53.3513709|-6.2555887|9C5M9P2V+GQ
00779U|53.38354589999999|-6.5874678|9C5M9CM7+C2
00788V|52.7889395|-7.3883646|9C4JQJQ6+HM
00796U|52.73076349999999|-7.396737099999998|9C4JPJJ3+88
00851C|53.7298577|-6.3435438|9C5MPMH4+WH
00856M|53.72871960000001|-7.796224899999999|ZZZ
00860D|53.5574692|-7.7220788|9C5JH74H+X5
00883P|53.6514886|-6.6848538|ZZZ
00885T|53.5031276|-6.4662755|9C5MGG3M+7F
00892Q|52.9535546|-6.9933493|9C4MX234+CM
00895W|52.8777604|-7.308844400000001|ZZZ
00934G|53.52837599999999|-7.342556999999999|9C5JGMH4+9X
00941D|53.592762|-7.591599899999999|9C5JHCV5+49
00973Q|52.9950352|-6.7432424|ZZZ
00977B|54.1133215|-7.5812399|ZZZ
00984V|52.9629454|-6.152083699999999|ZZZ
01000E|53.2786183|-8.6816856|9C5H78H9+C8
01013N|53.2741547|-9.062633|9C5G7WFP+MW
01086R|53.7651327|-8.4837294|ZZZ
01116A|52.6488109|-6.930095300000001|ZZZ
01125B|53.9927192|-8.0669673|ZZZ
01170G|53.57887419999999|-6.2856359|ZZZ
01197D|51.9008431|-8.5002409|9C3HWF2X+8W
01215C|52.72275819999999|-6.8767292|9C4MP4FF+48
01272O|51.5680658|-9.095128599999999|ZZZ
01285A|52.47638|-8.15991|ZZZ
01300Q|52.5828769|-7.2416512|9C4JHQM5+58
01309L|53.7107563|-6.620925|9C5MP96H+8J
01328P|53.2356206|-8.2743395|9C5H6PPG+67
01356U|53.8597206|-7.321479699999999|9C5JVM5H+VC
01395H|52.0732106|-7.823561099999999|9C4J35FG+7H
01396J|51.8266651|-9.5260923|9C3GRFGF+MH
01415K|52.7875272|-6.799755299999999|9C4MQ6Q2+23
01421F|53.6938579|-6.9959853|9C5MM2V3+GJ
01434O|53.84291469999999|-6.3488462|ZZZ
01553W|53.950149|-6.543186|9C5MXF24+3P
01554B|53.8216201|-6.5584044|9C5MRCCR+JJ
01569O|52.6882207|-7.9072164|9C4JM3QV+74
01572D|55.2623901|-7.4101702|9C7J7H6Q+XW
01574H|55.15701|-7.3541386|9C7J5J4W+R8
01583I|52.0720144|-9.8325634|9C4G35C8+RX
01594N|52.9551789|-7.798469600000001|ZZZ
01607T|53.3753227|-8.005243|ZZZ
01676P|53.6728505|-8.9567623|9C5HM2FV+47
01687U|51.8343868|-9.0383537|9C3GRXM6+QM
01692N|51.9877808|-8.6979103|9C3HX8Q2+4R
01711O|52.1782195|-7.540557|ZZZ
01731U|53.5847369|-7.5363602|ZZZ
01733B|54.7640527|-8.4113885|9C6HQH7Q+JC
01782O|52.7982788|-6.1561499|9C4MQRXV+8G
01795A|53.3513709|-6.2555887|9C5M9P2V+GQ
01821V|53.2061501|-6.569816800000001|ZZZ
01840C|52.3975953|-6.9526567|9C4M92XW+2W
01862M|52.47638|-8.15991|ZZZ
01866U|53.4697671|-8.2735544|9C5HFP9G+WH
01867W|52.0826376|-8.2290992|ZZZ
02007A|52.5344331|-8.8733127|9C4HG4MG+QM
02013S|54.192919|-8.412747999999999|9C6H5HVP+5W
02114B|52.2662127|-8.2698863|ZZZ
02124E|52.739728|-7.033688199999999|9C4JPXQ8+VG
02237R|52.515428|-7.8887828|ZZZ
02263S|53.6112835|-7.037031799999999|9C5JJX67+G5
02278I|52.05892129999999|-9.0657421|9C4G3W5M+HP
02322I|54.03713219999999|-6.184393699999999|9C6M2RP8+V6
